ArticleLabel,DiseaseLabel,ChemicalLabel
20731709,"Child Development Disorders, Pervasive","1-(2,3-dihydrobenzo(b)(1,4)dioxin-6-yl)-4-((6-fluoropyridin-3-yl)methyl)piperazine"
20731709,"Child Development Disorders, Pervasive","1,2-Dimethylhydrazine"
22231481,"Child Development Disorders, Pervasive","2,2',4,4'-tetrabromodiphenyl ether"
20731709,"Child Development Disorders, Pervasive","2-(4-(4-chlorophenyl)piperazin-1-ylmethyl)pyrazolo(1,5-a)-pyridine"
20442744,"Child Development Disorders, Pervasive",2-butenal
20731709,"Child Development Disorders, Pervasive","3-((4-(4-chlorophenyl)piperazin-1-yl)methyl)-1H-pyrrolo(2,3-b)pyridine"
22231481,"Child Development Disorders, Pervasive","3-(4-dimethylaminobenzylidene)-1,3-dihydroindol-2-one"
20442744,"Child Development Disorders, Pervasive",3-chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone
20731709,"Child Development Disorders, Pervasive",3-N-methylspiperone
22231481,"Child Development Disorders, Pervasive","4,4'-diaminodiphenylmethane"
20731709,"Child Development Disorders, Pervasive","4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide"
22231481,"Child Development Disorders, Pervasive","4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide"
22231481,"Child Development Disorders, Pervasive",4-hydroxyphenyl 4-isopropoxyphenylsulfone
20442744,"Child Development Disorders, Pervasive",4-hydroxyphenyl 4-isopropoxyphenylsulfone
22231481,"Child Development Disorders, Pervasive",4-phenylbutyric acid
20442744,"Child Development Disorders, Pervasive","7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide"
20731709,"Child Development Disorders, Pervasive","7-fluoro-2-oxo-4-(2-(4-(thieno(3,2-c)pyridin-4-yl)piperazin-1-yl)ethyl)-1,2-dihydroquinoline-1-acetamide"
20731709,"Child Development Disorders, Pervasive","7-methyl-6,7,8,9,14,15-hexahydro-5H-benz(d)indolo(2,3-g)azecine"
20731709,"Child Development Disorders, Pervasive",A 86929
22231481,"Child Development Disorders, Pervasive",Acetaminophen
20442744,"Child Development Disorders, Pervasive",Acetaminophen
22231481,"Child Development Disorders, Pervasive",Acrolein
20731709,"Child Development Disorders, Pervasive",Acrylamide
20442744,"Child Development Disorders, Pervasive",Acrylamide
22231481,"Child Development Disorders, Pervasive",Aflatoxin B1
20442744,"Child Development Disorders, Pervasive",Aflatoxin B1
22231481,"Child Development Disorders, Pervasive",aflatoxin B2
20731709,"Child Development Disorders, Pervasive",Air Pollutants
22231481,"Child Development Disorders, Pervasive",Air Pollutants
20442744,"Child Development Disorders, Pervasive",Air Pollutants
22231481,"Child Development Disorders, Pervasive",alpha-pinene
22231481,"Child Development Disorders, Pervasive",Amitrole
20731709,"Child Development Disorders, Pervasive",Ammonium Chloride
22231481,"Child Development Disorders, Pervasive",Ammonium Chloride
19519261,"Child Development Disorders, Pervasive",Aripiprazole
20731709,"Child Development Disorders, Pervasive",aristolochic acid I
22231481,"Child Development Disorders, Pervasive",aristolochic acid I
20442744,"Child Development Disorders, Pervasive",aristolochic acid I
22231481,"Child Development Disorders, Pervasive",Arsenic Trioxide
20731709,"Child Development Disorders, Pervasive",arsenite
20442744,"Child Development Disorders, Pervasive","Asbestos, Crocidolite"
22231481,"Child Development Disorders, Pervasive",Atrazine
22231481,"Child Development Disorders, Pervasive",Azacitidine
20442744,"Child Development Disorders, Pervasive",AZM551248
20731709,"Child Development Disorders, Pervasive",Azoxymethane
22231481,"Child Development Disorders, Pervasive","Batroxase, Bothrops atrox"
22231481,"Child Development Disorders, Pervasive",Batroxobin
20731709,"Child Development Disorders, Pervasive",benzamide
22231481,"Child Development Disorders, Pervasive",Benzene
20731709,"Child Development Disorders, Pervasive",Benzo(a)pyrene
22231481,"Child Development Disorders, Pervasive",Benzo(a)pyrene
20442744,"Child Development Disorders, Pervasive",Benzo(a)pyrene
22231481,"Child Development Disorders, Pervasive",benzo(e)pyrene
20442744,"Child Development Disorders, Pervasive",benzo(e)pyrene
22231481,"Child Development Disorders, Pervasive",benzyloxycarbonylleucyl-leucyl-leucine aldehyde
22231481,"Child Development Disorders, Pervasive",beta-lapachone
22231481,"Child Development Disorders, Pervasive",beta-Naphthoflavone
20731709,"Child Development Disorders, Pervasive",beta-N-methylamino-L-alanine
20731709,"Child Development Disorders, Pervasive",bicalutamide
22231481,"Child Development Disorders, Pervasive",Bicuculline
20731709,"Child Development Disorders, Pervasive",bisphenol A
22231481,"Child Development Disorders, Pervasive",bisphenol A
20442744,"Child Development Disorders, Pervasive",bisphenol A
22231481,"Child Development Disorders, Pervasive",bisphenol AF
22231481,"Child Development Disorders, Pervasive",bisphenol F
20731709,"Child Development Disorders, Pervasive",bisphenol S
22231481,"Child Development Disorders, Pervasive",bisphenol S
20442744,"Child Development Disorders, Pervasive",bisphenol S
22231481,"Child Development Disorders, Pervasive",Bleomycin
20731709,"Child Development Disorders, Pervasive",butylbenzyl phthalate
22231481,"Child Development Disorders, Pervasive",butylbenzyl phthalate
20442744,"Child Development Disorders, Pervasive",butylbenzyl phthalate
22231481,"Child Development Disorders, Pervasive",butyraldehyde
20442744,"Child Development Disorders, Pervasive",butyraldehyde
22231481,"Child Development Disorders, Pervasive",Butyrates
20731709,"Child Development Disorders, Pervasive",Cadmium
20442744,"Child Development Disorders, Pervasive",Cadmium
20731709,"Child Development Disorders, Pervasive",Cadmium Chloride
22231481,"Child Development Disorders, Pervasive",Cadmium Chloride
20442744,"Child Development Disorders, Pervasive",Cadmium Chloride
20442744,"Child Development Disorders, Pervasive",Caffeine
22231481,"Child Development Disorders, Pervasive",Carbon Tetrachloride
22231481,"Child Development Disorders, Pervasive",CGP 52608
22231481,"Child Development Disorders, Pervasive",Chlorine
20731709,"Child Development Disorders, Pervasive",Chlorodiphenyl (54% Chlorine)
20731709,"Child Development Disorders, Pervasive",Chlorpyrifos
20442744,"Child Development Disorders, Pervasive",Chlorpyrifos
20731709,"Child Development Disorders, Pervasive",Choline
20731709,"Child Development Disorders, Pervasive",Cisplatin
15782081,"Child Development Disorders, Pervasive",Citalopram
20731709,"Child Development Disorders, Pervasive",Clozapine
20442744,"Child Development Disorders, Pervasive",cobaltous chloride
20731709,"Child Development Disorders, Pervasive",Cocaine
22231481,"Child Development Disorders, Pervasive",Cocaine
20731709,"Child Development Disorders, Pervasive",Copper
22231481,"Child Development Disorders, Pervasive",Copper Sulfate
20442744,"Child Development Disorders, Pervasive",Copper Sulfate
22231481,"Child Development Disorders, Pervasive",Corticosterone
22231481,"Child Development Disorders, Pervasive",coumarin
20442744,"Child Development Disorders, Pervasive",coumarin
22231481,"Child Development Disorders, Pervasive",Curcumin
20731709,"Child Development Disorders, Pervasive",Cyclic AMP
20731709,"Child Development Disorders, Pervasive",decabromobiphenyl ether
20731709,"Child Development Disorders, Pervasive",decamethrin
20442744,"Child Development Disorders, Pervasive",decamethrin
22231481,"Child Development Disorders, Pervasive",Decitabine
20731709,"Child Development Disorders, Pervasive",Dextran Sulfate
20731709,"Child Development Disorders, Pervasive",Diazinon
20731709,"Child Development Disorders, Pervasive",Dibutyl Phthalate
22231481,"Child Development Disorders, Pervasive",dicrotophos
20442744,"Child Development Disorders, Pervasive",dicrotophos
20731709,"Child Development Disorders, Pervasive",Dieldrin
20731709,"Child Development Disorders, Pervasive",Dietary Fats
20442744,"Child Development Disorders, Pervasive",Dietary Fats
20731709,"Child Development Disorders, Pervasive",Diethylhexyl Phthalate
22231481,"Child Development Disorders, Pervasive",Diethylhexyl Phthalate
22231481,"Child Development Disorders, Pervasive",Diethylnitrosamine
20731709,"Child Development Disorders, Pervasive",diethyl phthalate
20731709,"Child Development Disorders, Pervasive",diisobutyl phthalate
20731709,"Child Development Disorders, Pervasive",diisononyl phthalate
20731709,"Child Development Disorders, Pervasive",dimethyl phosphate
20442744,"Child Development Disorders, Pervasive",Dimethyl Sulfoxide
20731709,"Child Development Disorders, Pervasive",di-n-butylphosphoric acid
22231481,"Child Development Disorders, Pervasive",di-n-butylphosphoric acid
20442744,"Child Development Disorders, Pervasive",di-n-butylphosphoric acid
22231481,"Child Development Disorders, Pervasive",Dioxins
20442744,"Child Development Disorders, Pervasive",Dioxins
22231481,"Child Development Disorders, Pervasive",Docosahexaenoic Acids
20731709,"Child Development Disorders, Pervasive",Dopamine
20731709,"Child Development Disorders, Pervasive",dorsomorphin
22231481,"Child Development Disorders, Pervasive",dorsomorphin
22231481,"Child Development Disorders, Pervasive",Doxorubicin
20442744,"Child Development Disorders, Pervasive",Doxorubicin
22231481,"Child Development Disorders, Pervasive",Dronabinol
22231481,"Child Development Disorders, Pervasive",Dust
20731709,"Child Development Disorders, Pervasive",Endocannabinoids
22231481,"Child Development Disorders, Pervasive",Enzyme Inhibitors
20442744,"Child Development Disorders, Pervasive",epigallocatechin gallate
22231481,"Child Development Disorders, Pervasive",epoxiconazole
20442744,"Child Development Disorders, Pervasive",epoxiconazole
22231481,"Child Development Disorders, Pervasive",Estradiol
22231481,"Child Development Disorders, Pervasive",Ethanol
20442744,"Child Development Disorders, Pervasive",Ethanol
22231481,"Child Development Disorders, Pervasive",Ethinyl Estradiol
22231481,"Child Development Disorders, Pervasive",Ethylnitrosourea
22231481,"Child Development Disorders, Pervasive",Fenretinide
20442744,"Child Development Disorders, Pervasive",Fenretinide
20731709,"Child Development Disorders, Pervasive",fenvalerate
20731709,"Child Development Disorders, Pervasive",Flavonoids
22231481,"Child Development Disorders, Pervasive",Flavonoids
20442744,"Child Development Disorders, Pervasive",fluorene-9-bisphenol
22231481,"Child Development Disorders, Pervasive",Fluoxetine
20731709,"Child Development Disorders, Pervasive",Folic Acid
22231481,"Child Development Disorders, Pervasive",Formaldehyde
22231481,"Child Development Disorders, Pervasive",FR900359
20442744,"Child Development Disorders, Pervasive",FR900359
20731709,"Child Development Disorders, Pervasive",fucoxanthin
22231481,"Child Development Disorders, Pervasive",fullerene C60
20442744,"Child Development Disorders, Pervasive",Fulvestrant
22231481,"Child Development Disorders, Pervasive",geniposide
22231481,"Child Development Disorders, Pervasive",Genistein
22231481,"Child Development Disorders, Pervasive",Gentamicins
20731709,"Child Development Disorders, Pervasive",Glyphosate
20731709,"Child Development Disorders, Pervasive",Gold
